,period_from,mpr,cost_per_meter,ccl_total,standing_charge,vat_total
92,2022-12-01,19283746,209.36,26.38,52.08,57.57
93,2022-03-01,101010101,100199.79,17593.51,5824.59,24723.58
94,2021-10-01,91827364,35.15,0.0,44.64,3.99
95,2021-11-01,19283746,84.63,0.0,36.0,6.03
96,2022-07-01,12345678,892.3,173.29,950.46,403.21
97,2021-07-01,87654321,114.55,24.98,137.33,55.38
98,2022-07-01,101010101,53401.2,10343.35,1903.4,13129.59
99,2022-09-01,12345678,1763.24,221.34,919.8,580.88
100,2022-08-01,19283746,3.25,0.0,52.08,2.76
101,2021-08-01,87654321,159.9,32.1,137.33,65.87
102,2021-11-01,87654321,272.0,61.6,132.9,93.3
103,2021-02-01,87654321,238.16,60.67,112.56,82.27
104,2021-07-02,101010101,27821.12,6089.06,5636.7,7909.37
105,2021-05-01,19283746,43.82,0.0,37.2,4.05
106,2022-07-01,87654321,0.0,0.0,179.49,8.97
107,2021-03-01,91827364,68.36,0.0,44.64,5.65
108,2022-05-01,101010101,98254.97,14899.44,1913.32,23013.54
109,2021-08-01,91827364,17.15,0.0,44.64,3.09
110,2021-03-01,12345678,2265.83,602.95,438.65,661.49
111,2021-06-01,19283746,12.4,0.0,36.0,2.42
112,2020-12-01,12345678,2343.77,656.3,438.65,687.74
113,2021-04-01,91827364,68.34,0.0,43.2,5.58
114,2020-12-01,91827364,79.04,22.03,44.64,29.15
115,2022-04-01,91827364,140.31,0.0,57.3,9.89
116,2022-08-01,101010101,37879.39,17042.57,1903.4,12029.05
117,2021-01-01,19283746,86.15,21.14,25.73,26.61
118,2022-12-01,12345678,7822.88,987.51,950.46,1952.17
119,2023-01-01,101010101,133066.32,24431.62,1903.4,31880.26
120,2023-01-01,91827364,187.4,34.41,59.21,56.2
121,2022-03-01,19283746,96.18,0.0,37.2,6.67
122,2020-12-01,19283746,70.1,19.54,25.73,23.08
123,2020-12-01,101010101,46185.11,12923.81,836.69,11989.12
124,2021-01-01,101010101,52189.44,12849.55,836.69,13175.14
125,2021-02-01,101010101,45704.82,11643.44,755.72,11620.8
126,2021-03-01,101010101,48418.48,12876.07,836.69,12426.25
127,2021-04-01,101010101,38347.17,11127.95,5636.7,11022.36
128,2021-05-01,101010101,33225.03,8943.35,5824.59,9598.59
129,2021-06-01,101010101,19758.04,5603.84,5636.7,6199.72
130,2023-02-01,87654321,551.69,128.02,162.12,168.36
131,2023-02-01,12345678,3243.64,752.98,858.48,971.03
132,2023-02-01,19283746,88.1,0.0,47.04,6.76
133,2023-02-01,91827364,115.46,26.72,53.48,39.13
134,2023-02-01,101010101,123595.86,28577.08,16182.32,33671.05
135,2023-03-01,91827364,136.19,29.72,59.21,45.02
136,2023-03-01,87654321,642.31,140.51,179.49,192.46
137,2023-03-01,12345678,3518.36,769.96,950.46,1047.75
138,2023-03-01,19283746,96.87,0.0,52.08,7.44
139,2023-03-01,101010101,105114.71,22935.29,1903.4,25990.68
140,2023-04-01,19283746,114.69,0.0,44.7,7.97
141,2023-04-01,91827364,186.5,0.0,53.7,12.02
142,2023-04-01,101010101,163284.08,24001.86,17622.0,40981.59
143,2023-04-01,87654321,905.99,132.57,137.7,235.25
144,2023-04-01,12345678,4727.35,691.82,623.7,1208.57
145,2023-05-01,12345678,2426.97,453.64,644.49,705.02
146,2023-05-01,87654321,138.24,0.0,142.29,14.02
147,2023-06-01,87654321,0.0,0.0,137.7,6.89
148,2023-05-01,101010101,57110.97,10735.57,18209.4,17211.19
149,2023-06-01,101010101,67063.36,14975.27,17622.0,19932.12
150,2023-05-01,91827364,29.75,0.0,55.49,4.26
151,2023-06-01,12345678,1642.6,364.34,623.7,526.13
152,2023-06-01,91827364,41.92,0.0,53.7,4.79
153,2023-07-01,101010101,73086.45,16320.29,18209.4,21523.23
154,2023-07-01,12345678,582.72,129.25,623.7,267.13
155,2023-08-01,87654321,0.0,0.0,142.29,7.11
156,2023-08-01,12345678,1197.34,252.92,644.49,418.95
157,2023-08-01,91827364,17.67,0.0,55.49,3.65
158,2023-08-01,101010101,85873.87,18256.01,18209.4,24467.85
159,2023-08-01,19283746,12.98,0.0,46.19,2.96
