MPR,ReadDate,H0030,H0100,H0130,H0200,H0230,H0300,H0330,H0400,H0430,H0500,H0530,H0600,H0630,H0700,H0730,H0800,H0830,H0900,H0930,H01000,H01030,H01100,H01130,H01200,H01230,H01300,H01330,H01400,H01430,H01500,H01530,H01600,H01630,H01700,H01730,H01800,H01830,H01900,H01930,H02000,H02030,H02100,H02130,H02200,H02230,H02300,H02330,H02400
19283746,31/01/2023,2.333,2.6653,2.888,2.6653,2.333,3.5538,1.8877,3.443,2.1103,3.443,2.0046,2.6721,2.8954,1.8925,4.0093,2.3389,3.7861,2.2268,2.6721,2.6721,2.6721,2.7843,2.1157,3.2296,1.6704,3.3407,1.8925,3.1175,2.0046,2.45,3.2296,1.7814,2.8954,1.7814,3.1175,2.5611,2.7843,2.5611,2.3389,2.6721,2.3389,3.3407,2.0046,3.2296,2.0046,3.5628,1.6704,4.0093
19283746,30/07/2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7002,0.1131,0.2272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19283746,12/04/2023,1.3361,2.45,2.1157,2.0046,2.1157,1.8925,2.0046,2.2268,2.45,1.3361,3.7668,0.9967,2.327,2.8806,1.3293,3.9888,2.548,1.9944,2.548,1.9944,1.7723,2.8806,2.6585,2.327,2.4375,2.2154,2.8806,2.2154,1.7723,3.3237,1.8828,2.1049,2.6585,1.9944,3.2132,1.6618,2.548,2.8806,1.8828,2.4375,2.8806,1.9944,2.6585,2.548,1.8828,3.3237,2.1049,2.8806
19283746,22/03/2023,2.4313,1.4361,2.321,1.7678,2.5415,2.321,1.7678,1.9893,2.763,1.7678,2.8732,1.6576,2.4313,1.878,2.2097,2.0995,2.763,1.6576,1.7678,2.6517,1.5474,2.4313,0.9941,2.6517,2.4313,2.0995,2.2097,1.878,1.7678,1.6576,2.4313,1.4361,2.4313,2.2097,0.9941,2.8732,1.3258,2.6517,1.5474,2.321,1.6576,2.5415,1.6576,2.4313,1.6576,2.321,2.0995,2.0995
19283746,04/05/2023,0.7936,1.2469,0.9066,0.7936,1.8132,0.7936,0.7936,1.7002,1.0197,1.5871,1.0146,0.7896,1.6917,1.0146,1.0146,1.9166,1.0146,1.9166,1.6917,1.3531,1.1281,0.7896,1.3531,1.4656,1.0146,1.1281,1.0146,0.9021,1.1281,0.9021,0.9021,1.3531,0.6771,1.0146,1.1281,0.9021,0.7896,1.1281,1.0146,0.9021,1.0146,0.9021,1.0146,1.0146,1.0146,0.9021,1.0146,1.1281
19283746,23/01/2023,2.8954,4.0093,4.0093,2.8954,4.1204,3.675,3.3407,3.5628,3.5628,4.0093,3.4518,3.2296,3.8971,3.3407,3.5628,4.0093,3.4518,3.675,4.2314,3.8971,3.675,3.8971,2.8954,4.0093,3.0064,2.45,4.0093,2.8954,3.4518,3.0064,3.1175,3.2296,2.7843,3.0064,3.0064,2.7843,2.7843,2.8954,3.0064,3.5628,2.5611,3.5628,1.8925,4.0093,2.5611,3.8971,2.45,3.2296
19283746,22/02/2023,2.4813,2.4813,1.9166,2.3688,1.9166,1.8041,2.3688,1.8041,1.9166,3.2708,1.7996,1.7996,2.5872,1.7996,2.1373,5.6243,3.8247,3.3748,3.0371,3.1493,3.5992,3.487,2.6994,3.2626,2.9249,2.8127,2.9249,2.8127,2.9249,2.2495,2.8127,2.3628,1.9118,2.5872,2.8127,1.5752,2.8127,2.6994,1.9118,2.1373,2.9249,2.0251,2.475,2.6994,2.1373,2.3628,2.8127,2.2495
19283746,18/01/2023,4.0707,2.9397,3.9568,3.0524,3.844,3.9568,2.9397,4.0707,3.2791,3.844,3.8971,2.8954,4.0093,2.8954,4.6768,4.6768,5.0111,4.0093,4.5657,4.0093,4.6768,3.3407,4.0093,4.0093,3.7861,3.1175,3.7861,3.8971,3.3407,3.5628,4.1204,2.7843,3.4518,3.8971,2.8954,2.7843,4.0093,2.7843,4.1204,2.8954,3.8971,3.4518,3.2296,4.1204,2.8954,3.8971,2.8954,3.8971
19283746,27/04/2023,1.6959,1.8087,1.131,2.1481,1.8087,0.9043,3.0524,1.5832,2.2609,1.9215,1.6959,2.2609,1.131,2.2609,1.9215,1.6959,2.1481,1.131,2.3747,1.2438,1.131,3.1652,1.0171,0.9043,3.0524,1.4693,1.9215,1.5832,0.9043,2.9397,0.7916,1.6959,2.1481,0.9043,2.2609,1.6959,1.0171,2.9397,0.7916,1.0171,3.0524,1.0171,2.1481,1.8087,1.2438,2.713,1.131,1.8087
19283746,04/01/2023,3.0371,3.1493,3.2626,2.9249,3.2626,2.6994,3.5992,2.9249,2.9249,3.0371,2.8954,3.3407,3.1175,2.8954,2.6721,3.4518,3.1175,3.1175,3.0064,2.8954,2.5611,3.1175,2.7843,2.7843,3.0064,3.2296,1.4471,3.2296,2.8954,2.6721,2.3389,2.6721,2.8954,2.5611,2.6721,2.6721,2.5611,2.6721,2.5611,2.6721,2.7843,2.6721,2.6721,2.6721,2.6721,2.7843,2.5611,2.6721
